+-------------------------------------------------------------+------------+
|                           Modules                           | Parameters |
|       single_transformer_blocks.27.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.27.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.27.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.28.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.28.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.28.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.28.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.28.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.28.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.28.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.28.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.29.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.29.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.29.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.29.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.29.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.29.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.29.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.29.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.30.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.30.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.30.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.30.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.30.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.30.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.30.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.30.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.31.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.31.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.31.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.31.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.31.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.31.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.31.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.31.ff.out_projection.weight    |  25165824  |
|                    norm_out.linear.weight                   |  18874368  |
|                       proj_out.weight                       |   49152    |
+-------------------------------------------------------------+------------+
Total Params (diffuser): 6842876928
Total Trainable Params (torch): 6842876928
Total Params (torch): 6842876928
